accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PXD009298,5,8,Modern Paint Binder Controls for Palaeoproteomic Profiling of Conservation Layers on a 14th Century Italian Wall Painting,PARTIAL,2018-03-22,2018-04-05,https://www.ebi.ac.uk/pride/archive/projects/PXD009298
PXD009442,5,26,"Linezolid  suppresses growth of tumours dervived from triple negative breast cancer, cancer chemoresistant and cancer stem-like cells through the induction of mitochondrial dysfunction",PARTIAL,2018-04-09,2018-11-04,https://www.ebi.ac.uk/pride/archive/projects/PXD009442
PXD009573,5,11,SMARCA4_Phosphopeptide,PARTIAL,2018-04-23,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD009573
PXD009777,5,14,Cross-linking Analysis (HSP70-HSP90-CHIP),PARTIAL,2018-05-14,2019-03-06,https://www.ebi.ac.uk/pride/archive/projects/PXD009777
PXD009803,5,6,The ubiquitin ligase UBR5 suppresses proteostasis collapse in immortal pluripotent stem cells and Huntington’s disease models,PARTIAL,2018-05-16,2018-06-14,https://www.ebi.ac.uk/pride/archive/projects/PXD009803
PXD009807,5,25,Glycolysis enzyme PFKFB4 enhances HIF1a transcriptional activity by blocking the ubiquitin E3 ligase FBXO28 in glioblastoma,COMPLETE,2018-05-17,2022-10-13,https://www.ebi.ac.uk/pride/archive/projects/PXD009807
PXD009838,5,7,Stable isotope dynamic labelling of secretomes: Strataclean Linearity C4PR_LIV,PARTIAL,2019-10-08,2019-10-08,https://www.ebi.ac.uk/pride/archive/projects/PXD009838
PXD010130,5,7,repaired shells of Pinctada fucata LC-MSMS,PARTIAL,2018-06-14,2019-03-26,https://www.ebi.ac.uk/pride/archive/projects/PXD010130
PXD010232,5,11,Hypolipidemic effects of Tamarindus indica fruit pulp extract,PARTIAL,2018-06-26,2018-10-04,https://www.ebi.ac.uk/pride/archive/projects/PXD010232
PXD010322,5,6,Analysis of Panax ginseng secreted proteins under salt stress,PARTIAL,2018-07-06,2022-11-17,https://www.ebi.ac.uk/pride/archive/projects/PXD010322
PXD010698,5,32,Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry,COMPLETE,2018-08-06,2018-09-17,https://www.ebi.ac.uk/pride/archive/projects/PXD010698
PXD010704,5,7,Assessment of incorporation of heavy amino acids in mitochondrial gene deletion strains and wild-type cells,PARTIAL,2018-08-07,2020-01-24,https://www.ebi.ac.uk/pride/archive/projects/PXD010704
PXD010739,5,6,Proteomic Analysis Reveals Early Salinity Stress-Responsive Proteins in Dunaliella salina,PARTIAL,2018-08-09,2019-02-12,https://www.ebi.ac.uk/pride/archive/projects/PXD010739
PXD010793,5,6,Estimating the Contribution of Proteasomal Spliced Peptides to the HLA-I Ligandome,PARTIAL,2018-08-16,2018-09-03,https://www.ebi.ac.uk/pride/archive/projects/PXD010793
PXD010885,5,7,Somatostatin-interacting human brain proteins,PARTIAL,2018-08-28,2019-04-04,https://www.ebi.ac.uk/pride/archive/projects/PXD010885
PXD010923,5,10,Proteogenomic analysis of rice hypoxic germination,PARTIAL,2018-08-29,2019-11-12,https://www.ebi.ac.uk/pride/archive/projects/PXD010923
PXD010941,5,10,"Enhanced RNA Interactome capture (eRIC) and RNA Interactome capture (RIC) of Jurkat cells (DSMZ, ACC-282).",PARTIAL,2018-08-30,2018-09-03,https://www.ebi.ac.uk/pride/archive/projects/PXD010941
PXD010967,5,30,First viruses infecting the marine diatom Guinardia delicatula,COMPLETE,2018-08-31,2019-01-30,https://www.ebi.ac.uk/pride/archive/projects/PXD010967
PXD011035,5,9,ASY1 in vitro phosphorylation.,PARTIAL,2018-09-07,2019-09-30,https://www.ebi.ac.uk/pride/archive/projects/PXD011035
PXD011055,5,7,AATF/Che-1 binds ribosome-associated RNAs and regulates ribosome biogenesis,PARTIAL,2019-04-10,2019-08-13,https://www.ebi.ac.uk/pride/archive/projects/PXD011055
PXD011096,5,15,Epistasis studies reveal redundancy among calcium-dependent protein kinases in motility and invasion of malaria parasites,PARTIAL,2018-09-14,2018-09-17,https://www.ebi.ac.uk/pride/archive/projects/PXD011096
PXD011126,5,10,interacting proteins for MPP9 -  M-Phase Phosphoprotein 9 regulates ciliogenesis by modulating CP110-CEP97 complex localization at the mother centriole,PARTIAL,2018-09-18,2018-09-24,https://www.ebi.ac.uk/pride/archive/projects/PXD011126
PXD011228,5,15,IgA deglycosylation to identify glycosylation sites,PARTIAL,2018-09-28,2018-11-09,https://www.ebi.ac.uk/pride/archive/projects/PXD011228
PXD011379,5,6,Neoseiulus barkeri LC-MSMS,PARTIAL,2018-10-16,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011379
PXD011645,5,22,Native alpha synuclein crosslinking,PARTIAL,2018-11-09,2019-02-28,https://www.ebi.ac.uk/pride/archive/projects/PXD011645
PXD011677,5,6,Protein aggregation capture on microparticles enables multi-purpose proteomics sample preparation,PARTIAL,2018-11-13,2019-03-05,https://www.ebi.ac.uk/pride/archive/projects/PXD011677
PXD011816,5,6,Proteomic analysis of multiple pig tissues reveals hundreds of Toxoplasma gondii responsive proteins that could participate in Toxoplasma gondii control in vivo,PARTIAL,2018-11-23,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011816
PXD011828,5,6,"Proteomic analysis of multiple pig tissues reveals hundreds of Toxoplasma gondii responsive proteins that could participate in Toxoplasma gondii control in vivo, part 3",PARTIAL,2018-11-26,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011828
PXD011829,5,6,"Proteomic analysis of multiple pig tissues reveals hundreds of Toxoplasma gondii responsive proteins that could participate in Toxoplasma gondii control in vivo, part 4",PARTIAL,2018-11-26,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011829
